,Prum_name,humerus,radius,carpometacarpus,femur,tibiotarsus,tarsometatarsus,ontogeny,Genus,Species,Family,Order,Mass_M_.hbw_alive.,Mass_F_.hbw_alive.,R_name
70,Indicator_exilis,16.9523185309022,19.325240108515,7.71756916019639,13.3500836564337,20.1279633201378,13.1911585523088,Altricial_2,Indicator,exilis, Indicatoridae, Piciformes,17.5,17.5,Indicator_exilis_FMNH_429726
71,Ixobrychus_minutus,55.6663563198568,55.3033763210048,27.9503294766618,47.7677360972423,65.6387886356891,40.8806990262693,Semialtricial,Ixobrychus,minutus,Ardeidae, Pelecaniformes,104.5,104.5,Ixobrychus_minutus_NHMUK_S_2007_61.1_
72,Jacana_jacana,41.7748381217587,44.1303277109412,22.082521852162,30.014485252498,84.7609111835795,62.485322986397,Precocial_1,Jacana,jacana,Jacanidae,Charadriiformes,99.5,140,Jacana_jacana_NHMUK_S_1990.2.5
73,Jynx_torquilla,21.1008110302522,21.6864052229745,11.0161710062623,18.63374111307,28.1300837057088,18.8585873858941,Altricial_2,Jynx,torquilla,Picidae,Piciformes,40,40,Jynx_torquilla_NHMUK_s1986.36.10
74,Leptoptilos_crumeniferus,250.558112875354,305.036161918165,124.122298761446,108.123015623577,272.969649172535,224.856649998474,Semialtricial,Leptoptilos,crumeniferus,Ciconiidae,Ciconiiformes,6450,6450,Leptoptilos_crumeniferus_NHMUK_S_1952.3.182
75,Leptotila_rufaxilla,31.350505823784,33.3989282188159,20.3957542389251,31.1295486382016,45.9028841588693,27.7863710205214,Altricial_1,Leptotila,rufaxilla,Columbidae,Columbiformes,149,149,Leptotila_rufazilla_FMNH_318659
76,Limosa_lapponica,62.1645485306038,63.5692165274168,31.8429360128039,36.1279597084399,74.8105960111735,51.8854637746388,Precocial_1,Limosa,lapponica,Scolopacidae,Charadriiformes,295,446,Limosa_lapponica_NHMUK_S_1994.46
77,Malurus_splendens,10.3676562805619,9.89911732611216,5.40698518416493,11.0963888739375,21.9574384683637,18.9601388151797,Altricial_2,Malurus,melanocephalus,Maluridae,Passeriformes,7,7,Malurus_melanocephalus_UMMZ_224775
78,Megalaima_chrysopogon,35.3138994026572,39.5434179250989,18.135193695066,34.7883323002063,54.7673395047304,31.964559647673,Altricial_1,Megalaima,chrysopogon,Megalaimidae,Piciformes,162.5,162.5,Megalaima_chrysopogon_NHMUK_1850.8.15.28
79,Melanopareia_maximiliani,15.891468716131,12.8689090019722,8.12160553143134,17.7018673463994,26.7803267951634,19.8539061300837,Altricial_2,Melanopareia,torquata,Melanopareiidae, Passeriformes,19.5,18.5,Melanopareia_torquata_FMNH_335140
80,Menura_novaehollandiae,64.014278630599,60.2891817783852,38.1634086453597,72.3183941630501,134.47116752064,117.719553617413,Altricial_2,Menura,novaehollandiae,Menuridae,Passeriformes,1100,890,Menura_novaehollandiae_FMNH_336751
81,Micrastur_gilvicollis,50.0481756048478,50.3920522413815,24.0995853673871,46.3918170515039,69.3918758720729,59.1454771629199,Semialtricial,Micrastur,ruficollis,Falconidae,Falconiformes,164,261,Micrastur_ruficollis_FMNH_330226
82,Momotus_lessonii,35.5976030050556,41.6430356920733,18.4994799690384,26.522580321757,39.4749610793311,26.8774710963164,Altricial_2,Momotus,momota,Momotidae,Coraciiformes,140,140,Momotus_momota_NHMUK_S_2105.23
83,Monias_benschi,28.0109443935861,26.9271182896145,15.8033346185087,34.5981206247412,51.4764489128328,33.7038845995399,Precocial_2,Monias,benschi,Mesitornithidae,Mesitornithiformes,140,140,Monias_benschi_NHMUK_1924.11.29.1
84,Myiobius_barbatus,14.6193421900533,17.3880415505492,8.48628741033868,13.4368348656576,20.2286099181052,16.6451249578468,Altricial_2,Myiobius,barbatus,Tyrannidae,Passeriformes,11,11,Myiobius_varbatus_FMNH_386812
85,Myrmornis_torquata,25.2242367021325,26.5580226485671,13.4538824186495,21.3065733079104,30.530295096715,23.5992550894918,Altricial_2,Myrmornis,torquata,Thamnophilidae,Passeriformes,45,45,Myrmornis_torquata_YPM_106157
86,Myrmothera_campanisona,23.0770278951619,21.6839222180219,11.263830395102,23.3443576664867,47.4784196165701,43.1707448053285,Altricial_2,Myrmothera,campanisona,Grallariidae,Passeriformes,46.75,53,Myrmothera_campanisona_FMNH_322348
87,Neodrepanis_coruscans,11.597023826276,13.7956898370017,7.78571018602037,10.5735984957017,18.8609331427226,13.4666443496798,Altricial_2,Neodrepanis,coruscans,Eurylaimidae,Passeriformes,25,25,Neodrepanis_coruscans_FMNH_363807
88,Numida_meleagris,73.5228564043036,63.2300579090806,38.870171672453,75.0289152975986,107.241622357438,68.8665785807418,Precocial_2,Numida,meleagris,Numididae,Galliformes,1480.5,1479,Numida_meleagris_FMNH_390428
